time,r_x,r_y,r_z,v_x,v_y,v_z,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
4.0503066766e+02,1.0100266054e+04,3.5021874985e+03,4.0205801518e+02,-4.6167072492e-01,5.9917374687e+00,9.7159634533e-01,6.0875329330e+00,1.0697772772e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.8492140025e+00,1.5903460301e+00,1.3337299752e+00,2.5952272103e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
4.2528243532e+02,1.0090244530e+04,3.6232950466e+03,4.2170736944e+02,-5.2791443302e-01,5.9683598423e+00,9.6889372348e-01,6.0694948639e+00,1.0729358731e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.8603194818e+00,1.6019111261e+00,1.3453702579e+00,2.5945004983e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
4.4635666701e+02,1.0078398820e+04,3.7488119017e+03,4.4209545919e+02,-5.9615720532e-01,5.9434161958e+00,9.6597106154e-01,6.0508428820e+00,1.0762116978e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.8718068807e+00,1.6139098713e+00,1.3574832752e+00,2.5933959554e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
4.6743089871e+02,1.0065122361e+04,3.8737965964e+03,4.6242079273e+02,-6.6369650417e-01,5.9178589791e+00,9.6293841133e-01,6.0323128508e+00,1.0794758969e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.8832246825e+00,1.6258722138e+00,1.3695962926e+00,2.5919394480e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
4.8850513040e+02,1.0050429962e+04,3.9982363608e+03,4.8268107830e+02,-7.3053405378e-01,5.8917033808e+00,9.5979824466e-01,6.0139056695e+00,1.0827281165e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.8945737654e+00,1.6377985040e+00,1.3817093099e+00,2.5901342823e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
5.1036921802e+02,1.0033706160e+04,4.1267508184e+03,5.0362956589e+02,-7.9913700996e-01,5.8639509421e+00,9.5642934141e-01,5.9949393406e+00,1.0860891969e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.9062765107e+00,1.6501340579e+00,1.3942763196e+00,2.5878964684e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
5.3223330564e+02,1.0015490631e+04,4.2546517762e+03,5.2450318306e+02,-8.6698902803e-01,5.8355866670e+00,9.5294996985e-01,5.9761070412e+00,1.0894366338e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.9179071923e+00,1.6624315731e+00,1.4068433292e+00,2.5852905455e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
5.5409739326e+02,9.9957997664e+03,4.3819260315e+03,5.4529954300e+02,-9.3409264067e-01,5.8066264329e+00,9.4936272551e-01,5.9574096030e+00,1.0927700596e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.9294667669e+00,1.6746914388e+00,1.4194103388e+00,2.5823201264e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
5.7672535886e+02,9.9738847967e+03,4.5129733148e+03,5.6673864166e+02,-1.0027554998e+00,5.7760433735e+00,9.4553926603e-01,5.9382017605e+00,1.0962048110e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.9413563380e+00,1.6873404025e+00,1.4324164092e+00,2.5788659265e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
5.9935332446e+02,9.9504251328e+03,4.6433216905e+03,5.8808997280e+02,-1.0706228536e+00,5.7448554126e+00,9.4160574147e-01,5.9191400033e+00,1.0996237832e+04,-1.8715901577e+01,1.0644365658e+04,5.7477859844e-04,1.0931487923e+04,6.2942240498e+04,9.9368650000e+02,-9.9990000000e+03,6.2135000000e+04,2.5666510085e-01,1.4626863910e-02,-2.5295631138e-01,-4.0940607945e-02,9.9431470580e+03,1.3376402843e+04,7.9123284726e+03,1.0287783681e+04,1.9531718032e+00,1.6999498851e+00,1.4454224796e+00,2.5750290994e-01,1.6032845983e-01,9.9053355166e-02,4.6716239940e+00
