time,ICRF_X,ICRF_Y,ICRF_Z,Vx,Vy,Vz,v,r,E,a,n,T,h,h_x,h_y,h_z,e,e_x,e_y,e_z,p,ra,rp,b,f,E_anom,M,gamma,i,laan,omega
9.1287710977e+05,3.3895454813e+07,2.1598504594e+08,9.9442385789e+06,-2.1752515090e+01,8.9857420576e+00,-3.9131138850e-01,2.3538661765e+01,2.1885458599e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2327532649e+02,1.1039435084e+02,9.7102233727e+01,1.3465449660e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
9.5861909570e+05,3.2900007556e+07,2.1639321255e+08,9.9262077453e+06,-2.1771822180e+01,8.8607651532e+00,-3.9705485373e-01,2.3509212081e+01,2.1910491216e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2354914409e+02,1.1070151242e+02,9.7436079097e+01,1.3439399495e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.0043610816e+06,3.1903691799e+07,2.1679566688e+08,9.9079148826e+06,-2.1790489568e+01,8.7359816928e+00,-4.0276823462e-01,2.3479885732e+01,2.1935444720e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2382233771e+02,1.1100832382e+02,9.7769924468e+01,1.3413001694e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.0501030676e+06,3.0906536716e+07,2.1719241782e+08,9.8893613651e+06,-2.1808521175e+01,8.6113932539e+00,-4.0845160340e-01,2.3450682769e+01,2.1960318723e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2409491146e+02,1.1131478695e+02,9.8103769838e+01,1.3386257901e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.0958450535e+06,2.9908571297e+07,2.1758347433e+08,9.8705485641e+06,-2.1825920896e+01,8.4870013803e+00,-4.1410503274e-01,2.3421603241e+01,2.1985112842e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2436686942e+02,1.1162090371e+02,9.8437615208e+01,1.3359169757e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.1415870394e+06,2.8909824358e+07,2.1796884544e+08,9.8514778473e+06,-2.1842692597e+01,8.3628075822e+00,-4.1972859575e-01,2.3392647192e+01,2.2009826701e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2463821564e+02,1.1192667600e+02,9.8771460579e+01,1.3331738894e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.1823609075e+06,2.8018917554e+07,2.1830757541e+08,9.8342621255e+06,-2.1857116406e+01,8.2522708668e+00,-4.2471625661e-01,2.3366940235e+01,2.2031788382e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2487957808e+02,1.1219894896e+02,9.9069046414e+01,1.3306999764e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.2231347755e+06,2.7127432701e+07,2.1864180161e+08,9.8168435191e+06,-2.1871046960e+01,8.1418937361e+00,-4.2968029718e-01,2.3341331451e+01,2.2053685732e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2512046051e+02,1.1247095105e+02,9.9366632249e+01,1.3281990764e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.2639086436e+06,2.6235389855e+07,2.1897153059e+08,9.7992229903e+06,-2.1884486945e+01,8.0316771948e+00,-4.3462076999e-01,2.3315820865e+01,2.2075518490e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2536086577e+02,1.1274268360e+02,9.9664218085e+01,1.3256713040e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
1.3046825117e+06,2.5342808965e+07,2.1929676890e+08,9.7814014988e+06,-2.1897439028e+01,7.9216222281e+00,-4.3953772779e-01,2.3290408501e+01,2.2097286402e+08,-3.2933400184e+02,2.0147704558e+08,1.2738189627e-07,4.9325575228e+07,5.0099307825e+09,-1.7387377105e+08,-2.0304852226e+08,5.0027937849e+09,2.4750577263e-01,1.8327084978e-01,-1.6634529546e-01,-3.8182118561e-04,1.8913474159e+08,2.5134377742e+08,1.5161031375e+08,1.9520837316e+08,1.2560079668e+02,1.1301414793e+02,9.9961803920e+01,1.3231167736e+01,3.0586593512e+00,4.0573984775e+01,3.5834325503e+02
