time,JDTDB,X,Y,Z,VX,VY,VZ
7516800,2453684.500000000,1.354222978270257E+08,1.260867677170787E+08,9.823585677243993E+06,-1.365587305597935E+01,2.422789606781242E+01,5.089967176366414E-01
7603200,2453685.500000000,1.342319481069242E+08,1.281702161437836E+08,9.866799053998269E+06,-1.389779446886485E+01,2.399980085544566E+01,4.913269245109699E-01
7689600,2453686.500000000,1.330208836922523E+08,1.302338867741045E+08,9.908489421215460E+06,-1.413538433795236E+01,2.377008992826465E+01,4.737422462994534E-01
7776000,2453687.500000000,1.317894776569596E+08,1.322776434103293E+08,9.948664229487747E+06,-1.436866994728189E+01,2.353884167935190E+01,4.562449022144826E-01
7862400,2453688.500000000,1.305381006751111E+08,1.343013565472557E+08,9.987331116420560E+06,-1.459767955422048E+01,2.330613263801943E+01,4.388370025670021E-01
7948800,2453689.500000000,1.292671209398339E+08,1.363049032121038E+08,1.002449789736409E+07,-1.482244231930780E+01,2.307203749189594E+01,4.215205520676388E-01
8035200,2453690.500000000,1.279769040881752E+08,1.382881668063341E+08,1.006017255643623E+07,-1.504298824077949E+01,2.283662910798131E+01,4.042974530650714E-01
8121600,2453691.500000000,1.266678131312375E+08,1.402510369491132E+08,1.009436323779387E+07,-1.525934809586459E+01,2.259997855216530E+01,3.871695093074425E-01
8208000,2453692.500000000,1.253402083892601E+08,1.421934093225167E+08,1.012707823735593E+07,-1.547155338476970E+01,2.236215510627898E+01,3.701384267055037E-01
8294400,2453693.500000000,1.239944516275198E+08,1.441151888699979E+08,1.015832575772335E+07,-1.567904748207545E+01,2.212369659625260E+01,3.531728208571003E-01
8380800,2453694.500000000,1.226309400947295E+08,1.460163168761649E+08,1.018811199283207E+07,-1.588304061359499E+01,2.188372830152689E+01,3.363401532282841E-01
8467200,2453695.500000000,1.212499790355848E+08,1.478966690339048E+08,1.021644825794974E+07,-1.608297730104779E+01,2.164278472089072E+01,3.196089322976983E-01
8553600,2453696.500000000,1.198519174688442E+08,1.497561637868901E+08,1.024334337688643E+07,-1.627889137397569E+01,2.140092827107314E+01,3.029805056124717E-01
8640000,2453697.500000000,1.184371014705479E+08,1.515947249002087E+08,1.026880628630982E+07,-1.647081711439331E+01,2.115821971993671E+01,2.864561383447199E-01
8726400,2453698.500000000,1.170058741284342E+08,1.534122812662301E+08,1.029284617885875E+07,-1.665878929167810E+01,2.091471832292457E+01,2.700368090714456E-01
8812800,2453699.500000000,1.155585755344792E+08,1.552087669852130E+08,1.031547187826011E+07,-1.684284281784301E+01,2.067048138813099E+01,2.537240467203628E-01
8899200,2453700.500000000,1.140955427260079E+08,1.569841208835098E+08,1.033669278698502E+07,-1.702301314183995E+01,2.042556500631921E+01,2.375186726994905E-01
8985600,2453701.500000000,1.126171096729435E+08,1.587382866192881E+08,1.035651822547757E+07,-1.719933592652946E+01,2.018002360778634E+01,2.214216496424699E-01
9072000,2453702.500000000,1.111236072531720E+08,1.604712124879363E+08,1.037495759435102E+07,-1.737184707604966E+01,1.993391011220309E+01,2.054338712486903E-01
